% Model,tutorial_comsol_projeto1.mph
% Version,COMSOL 6.3.0.420
% Date,"Aug 30 2025, 19:06"
% Table,Accumulated Probe Table 3 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21
2.012751677852349E-7,2.404163420507523,-1.7667278062957695E-5+1.2466455753575048E-9i,-1.7663094990990243E-5-1.2463504077521165E-9i,8268119.88351437,7946447.212539566,239.43293452217176+0.014449674982721025i,60.80362255211775-5.840244995909641E-4i
2.1134228187919466E-7,1.4988027009900116+2.2245220519376833E-9i,-2.149477206908104E-5+1.0880485224683568E-9i,-2.1490263378102523E-5-1.0878202960632762E-9i,8267830.541519278,7946383.819427336,207.84781990107894+0.012013153109147209i,50.179054133452276-5.39775950571134E-4i
2.1134228187919466E-7,2.404163420507527,-2.149477206908104E-5+1.0880485224683568E-9i,-2.1490263378102523E-5-1.0878202960632762E-9i,8267830.541519278,7946383.819427336,207.84781990107894+0.012013153109147209i,50.179054133452276-5.39775950571134E-4i
2.2140939597315438E-7,1.498802700990013+2.2245240726809385E-9i,-9.340285838637087E-6+8.555319027189756E-10i,-9.338870975522996E-6-8.554023070563903E-10i,8267604.957080487,7946630.188807136,115.83159236769623+0.009659343020866521i,123.9085827795664-3.18711609479293E-4i
2.2140939597315438E-7,2.404163420507529-4.847445063950407E-16i,-9.340285838637087E-6+8.555319027189756E-10i,-9.338870975522996E-6-8.554023070563903E-10i,8267604.957080487,7946630.188807136,115.83159236769623+0.009659343020866521i,123.9085827795664-3.18711609479293E-4i
2.3147651006711412E-7,1.4988027009900122+2.2245232643836368E-9i,-1.0191595956330456E-5+7.606206108335974E-10i,-1.01888610484899E-5-7.604164988102048E-10i,8268404.350526607,7946469.596594462,120.79056794618599+0.007358240083743182i,54.37909471569828-4.117695830559522E-4i
2.3147651006711412E-7,2.404163420507529-4.847445063950403E-16i,-1.0191595956330456E-5+7.606206108335974E-10i,-1.01888610484899E-5-7.604164988102048E-10i,8268404.350526607,7946469.596594462,120.79056794618599+0.007358240083743182i,54.37909471569828-4.117695830559522E-4i
2.4154362416107384E-7,1.4988027009900051+2.2245232643836533E-9i,-9.608947519232907E-6+6.155685759766003E-10i,-9.606138800622447E-6-6.153886437923566E-10i,8268550.359821516,7946419.523903533,109.93809002774549+0.004778146416617294i,-3.725546291767267-4.8504740442247447E-4i
2.4154362416107384E-7,2.404163420507523+7.271167595925689E-16i,-9.608947519232907E-6+6.155685759766003E-10i,-9.606138800622447E-6-6.153886437923566E-10i,8268550.359821516,7946419.523903533,109.93809002774549+0.004778146416617294i,-3.725546291767267-4.8504740442247447E-4i
2.5161073825503357E-7,1.4988027009900071+2.2245228602349962E-9i,-1.1416490066022492E-5+4.4529094678081004E-10i,-1.141383862721968E-5-4.4518752955819694E-10i,8268262.259051911,7946620.0002981415,70.16856360715202+0.0024473173214202494i,-8.808642090080845-4.478549436056247E-4i
2.5161073825503357E-7,2.4041634205075244,-1.1416490066022492E-5+4.4529094678081004E-10i,-1.141383862721968E-5-4.4518752955819694E-10i,8268262.259051911,7946620.0002981415,70.16856360715202+0.0024473173214202494i,-8.808642090080845-4.478549436056247E-4i
2.616778523489933E-7,1.4988027009900033+2.2245216477890506E-9i,-6.918851316474141E-6+2.822286564628275E-10i,-6.917707172847292E-6-2.821819854037376E-10i,8267540.086537596,7946457.470118501,61.937097232141426+2.714788496366187E-4i,-19.287626203423798-4.275648626918235E-4i
2.616778523489933E-7,2.404163420507525,-6.918851316474141E-6+2.822286564628275E-10i,-6.917707172847292E-6-2.821819854037376E-10i,8267540.086537596,7946457.470118501,61.937097232141426+2.714788496366187E-4i,-19.287626203423798-4.275648626918235E-4i
2.7174496644295306E-7,1.498802700990009+2.2245256892755536E-9i,3.0987828286388596E-6+1.169588633918341E-10i,3.098059436976394E-6-1.169315600694318E-10i,8267998.416578414,7946356.904324219,97.72318367422126-0.0020841063779037175i,10.578428482173408-3.22926109182004E-4i
2.7174496644295306E-7,2.404163420507524,3.0987828286388596E-6+1.169588633918341E-10i,3.098059436976394E-6-1.169315600694318E-10i,8267998.416578414,7946356.904324219,97.72318367422126-0.0020841063779037175i,10.578428482173408-3.22926109182004E-4i
2.818120805369128E-7,1.4988027009900096+2.2245236685322942E-9i,-7.3171863522365615E-6-8.485757374654444E-12i,-7.3149110400331625E-6+8.483118690004157E-12i,8268744.407358995,7946457.747360938,16.431587855598032-0.004382458283461599i,-3.4971942891475654-3.1931397454985395E-4i
2.818120805369128E-7,2.404163420507522,-7.3171863522365615E-6-8.485757374654444E-12i,-7.3149110400331625E-6+8.483118690004157E-12i,8268744.407358995,7946457.747360938,16.431587855598032-0.004382458283461599i,-3.4971942891475654-3.1931397454985395E-4i
2.918791946308725E-7,1.4988027009900144+2.224521243640374E-9i,-8.315750119031518E-6-7.212256337164076E-11i,-8.313656367832156E-6+7.210440425172838E-11i,8268399.130828942,7946596.27186131,-20.48074525617124-0.006433660724621391i,55.641333587380345-1.6021623202108605E-4i
2.918791946308725E-7,2.4041634205075257+4.847445063950431E-16i,-8.315750119031518E-6-7.212256337164076E-11i,-8.313656367832156E-6+7.210440425172838E-11i,8268399.130828942,7946596.27186131,-20.48074525617124-0.006433660724621391i,55.641333587380345-1.6021623202108605E-4i
3.019463087248322E-7,1.4988027009900187+2.2245236685322744E-9i,-1.7418200596941725E-5-2.2823315224016484E-10i,-1.7415151183775753E-5+2.2819319534705772E-10i,8267614.074514025,7946451.455769188,-47.78581176443891-0.008420201017635964i,80.09722820769315-8.039006491917062E-5i
3.019463087248322E-7,2.404163420507523,-1.7418200596941725E-5-2.2823315224016484E-10i,-1.7415151183775753E-5+2.2819319534705772E-10i,8267614.074514025,7946451.455769188,-47.78581176443891-0.008420201017635964i,80.09722820769315-8.039006491917062E-5i
3.12013422818792E-7,1.498802700990009+2.2245228602349925E-9i,-1.9136081519228638E-5-3.278000312490679E-10i,-1.9133248295954446E-5+3.277514982891287E-10i,8267544.385160618,7946599.173973566,-70.32591055758357-0.01047985156541576i,81.38953886060818-5.425911100038535E-5i
3.12013422818792E-7,2.4041634205075213-4.847445063950476E-16i,-1.9136081519228638E-5-3.278000312490679E-10i,-1.9133248295954446E-5+3.277514982891287E-10i,8267544.385160618,7946599.173973566,-70.32591055758357-0.01047985156541576i,81.38953886060818-5.425911100038535E-5i
3.220805369127517E-7,1.4988027009900098+2.2245208394917324E-9i,-4.356641433359558E-5-4.099062874943894E-10i,-4.356076741798594E-5+4.098531569751859E-10i,8267391.315874901,7946598.6038564015,-107.98396164398542-0.012203784221236719i,90.2343664657623-1.4576170358938134E-5i
3.220805369127517E-7,2.404163420507528-4.847445063950416E-16i,-4.356641433359558E-5-4.099062874943894E-10i,-4.356076741798594E-5+4.098531569751859E-10i,8267391.315874901,7946598.6038564015,-107.98396164398542-0.012203784221236719i,90.2343664657623-1.4576170358938134E-5i
3.3214765100671143E-7,1.4988027009900107+2.2245228602349888E-9i,-3.737221612498127E-5-5.468528952631783E-10i,-3.7364556984565224E-5+5.467408220829928E-10i,8267797.197729407,7946390.045406581,-157.15784232097792-0.013871354062909803i,83.32404270669-1.1047876485557426E-5i
3.3214765100671143E-7,2.404163420507523,-3.737221612498127E-5-5.468528952631783E-10i,-3.7364556984565224E-5+5.467408220829928E-10i,8267797.197729407,7946390.045406581,-157.15784232097792-0.013871354062909803i,83.32404270669-1.1047876485557426E-5i
3.4221476510067115E-7,1.4988027009900087+2.2245224560863416E-9i,-3.210390073898353E-5-6.681031872210341E-10i,-3.2098362590997066E-5+6.679879347365733E-10i,8267673.772347564,7946529.208972399,-222.5953633672581-0.015381631365687197i,68.73262159822998-2.6459549631788374E-5i
3.4221476510067115E-7,2.4041634205075195,-3.210390073898353E-5-6.681031872210341E-10i,-3.2098362590997066E-5+6.679879347365733E-10i,8267673.772347564,7946529.208972399,-222.5953633672581-0.015381631365687197i,68.73262159822998-2.6459549631788374E-5i
3.522818791946309E-7,1.4988027009900182+2.2245220519376684E-9i,-4.820404097572091E-5-7.214651569261141E-10i,-4.8199342610829176E-5+7.213948369592541E-10i,8267076.246741171,7946551.250558769,-262.11255080993504-0.016881275872720387i,61.75442059870037-2.6115018356755945E-5i
3.522818791946309E-7,2.4041634205075297+4.847445063950397E-16i,-4.820404097572091E-5-7.214651569261141E-10i,-4.8199342610829176E-5+7.213948369592541E-10i,8267076.246741171,7946551.250558769,-262.11255080993504-0.016881275872720387i,61.75442059870037-2.6115018356755945E-5i
3.6234899328859065E-7,1.498802700990013+2.224522051937681E-9i,-4.579350854079299E-5-9.354424988230808E-10i,-4.5783612216302006E-5+9.35240342604744E-10i,8267991.668505013,7946488.210638977,-297.8308156784957-0.018241685145146017i,32.817617846490904-7.509113740716397E-5i
3.6234899328859065E-7,2.4041634205075226,-4.579350854079299E-5-9.354424988230808E-10i,-4.5783612216302006E-5+9.35240342604744E-10i,8267991.668505013,7946488.210638977,-297.8308156784957-0.018241685145146017i,32.817617846490904-7.509113740716397E-5i
3.7241610738255037E-7,1.4988027009900144+2.224521243640374E-9i,-3.2137565464179605E-5-1.1065208905437448E-9i,-3.2133353056573396E-5+1.1063758541370218E-9i,8267406.40987169,7946601.524496624,-319.1024833991226-0.01964495576376392i,37.18432565883906-5.296989583349152E-5i
3.7241610738255037E-7,2.4041634205075257,-3.2137565464179605E-5-1.1065208905437448E-9i,-3.2133353056573396E-5+1.1063758541370218E-9i,8267406.40987169,7946601.524496624,-319.1024833991226-0.01964495576376392i,37.18432565883906-5.296989583349152E-5i
3.824832214765101E-7,1.4988027009900051+2.224524476829607E-9i,-3.60335494376046E-5-1.2482095483959624E-9i,-3.602317899953403E-5+1.247850314292669E-9i,8268328.684712814,7946242.276406702,-303.5648188325791-0.020937588444004108i,20.55478623144483-7.81013598519617E-5i
3.824832214765101E-7,2.4041634205075226,-3.60335494376046E-5-1.2482095483959624E-9i,-3.602317899953403E-5+1.247850314292669E-9i,8268328.684712814,7946242.276406702,-303.5648188325791-0.020937588444004108i,20.55478623144483-7.81013598519617E-5i
3.925503355704698E-7,1.4988027009900067+2.224522860234998E-9i,-3.2352472133293817E-5-1.4521109370642141E-9i,-3.2347325154776904E-5+1.451879919670355E-9i,8267436.859256501,7946408.126579876,-335.1178096409693-0.022233797774384185i,14.987918866233557-8.004590382726475E-5i
3.925503355704698E-7,2.404163420507523,-3.2352472133293817E-5-1.4521109370642141E-9i,-3.2347325154776904E-5+1.451879919670355E-9i,8267436.859256501,7946408.126579876,-335.1178096409693-0.022233797774384185i,14.987918866233557-8.004590382726475E-5i
4.026174496644296E-7,1.4988027009900096+2.2245220519376883E-9i,-2.4443734300697144E-5-1.6369443557337748E-9i,-2.4438961795792608E-5+1.6366247513365917E-9i,8267834.458425736,7946502.93458406,-328.10294495588215-0.02336709750146489i,5.88523999967331-9.040003527870337E-5i
4.026174496644296E-7,2.4041634205075275-7.271167595925627E-16i,-2.4443734300697144E-5-1.6369443557337748E-9i,-2.4438961795792608E-5+1.6366247513365917E-9i,8267834.458425736,7946502.93458406,-328.10294495588215-0.02336709750146489i,5.88523999967331-9.040003527870337E-5i
4.126845637583893E-7,1.4988027009900107+2.2245228602349888E-9i,-1.9832355709612264E-5-1.8499361511145977E-9i,-1.982913155424648E-5+1.8496354061272006E-9i,8267319.9133813055,7946268.066364819,-331.1744889842111-0.024672207325768275i,6.86914033872203-7.936052793440714E-5i
4.126845637583893E-7,2.4041634205075275+7.271167595925627E-16i,-1.9832355709612264E-5-1.8499361511145977E-9i,-1.982913155424648E-5+1.8496354061272006E-9i,8267319.9133813055,7946268.066364819,-331.1744889842111-0.024672207325768275i,6.86914033872203-7.936052793440714E-5i
